count[times],Measured Time[s],Fx Value[N],Fy Value[N],Fz Value[N],Mx Value[Nm],My Value[Nm],Mz Value[Nm],Temp Value[degC]
257,0.252354,-0.155,-0.408,-2.875,-0.00233,-0.00289,-0.0012,0
258,0.253345,-0.158,-0.407,-2.895,-0.0023,-0.00279,-0.00107,0
259,0.254336,-0.152,-0.417,-2.899,-0.0022,-0.00292,-0.00104,0
260,0.255312,-0.13,-0.411,-2.909,-0.00217,-0.0027,-0.00148,0
261,0.256286,-0.142,-0.403,-2.918,-0.00212,-0.00272,-0.00189,0
262,0.257278,-0.164,-0.417,-2.895,-0.00205,-0.00273,-0.00153,0
263,0.258269,-0.183,-0.415,-2.906,-0.00207,-0.0029,-0.00222,0
264,0.25926,-0.132,-0.425,-2.925,-0.00225,-0.00275,-0.00157,0
265,0.260237,-0.145,-0.389,-2.882,-0.00228,-0.00272,-0.00138,0
266,0.261211,-0.157,-0.39,-2.883,-0.00221,-0.00278,-0.00132,0
267,0.262185,-0.144,-0.407,-2.886,-0.00234,-0.00263,-0.00155,0
268,0.263176,-0.173,-0.416,-2.9,-0.00232,-0.00278,-0.00155,0
269,0.264167,-0.149,-0.402,-2.877,-0.00233,-0.00271,-0.0019,0
270,0.265144,-0.155,-0.423,-2.888,-0.0022,-0.00281,-0.00134,0
271,0.266118,-0.136,-0.434,-2.912,-0.00217,-0.00269,-0.00122,0
272,0.267092,-0.151,-0.424,-2.868,-0.00213,-0.00275,-0.00162,0
273,0.268083,-0.136,-0.425,-2.878,-0.00229,-0.0027,-0.00199,0
274,0.269074,-0.133,-0.424,-2.885,-0.00221,-0.00277,-0.00215,0
275,0.270051,-0.159,-0.407,-2.893,-0.00229,-0.00273,-0.00205,0
276,0.271025,-0.155,-0.401,-2.9,-0.00224,-0.00258,-0.00201,0
277,0.271999,-0.168,-0.425,-2.883,-0.00221,-0.00274,-0.00168,0
278,0.27299,-0.148,-0.406,-2.892,-0.00218,-0.00256,-0.00127,0
279,0.273981,-0.131,-0.407,-2.891,-0.00225,-0.00266,-0.00161,0
280,0.274958,-0.137,-0.419,-2.908,-0.00217,-0.00262,-0.00206,0
281,0.275932,-0.141,-0.418,-2.883,-0.0022,-0.00282,-0.00191,0
282,0.276906,-0.16,-0.404,-2.887,-0.00227,-0.00253,-0.00207,0
283,0.277897,-0.155,-0.418,-2.893,-0.00227,-0.00269,-0.00227,0
284,0.278888,-0.154,-0.41,-2.87,-0.00216,-0.0027,-0.00243,0
285,0.279866,-0.158,-0.396,-2.881,-0.00226,-0.00262,-0.00226,0
286,0.28084,-0.134,-0.437,-2.873,-0.00218,-0.00244,-0.00225,0
287,0.281814,-0.144,-0.417,-2.894,-0.00218,-0.00256,-0.00258,0
288,0.282805,-0.154,-0.425,-2.895,-0.00227,-0.00269,-0.00195,0
289,0.283796,-0.15,-0.411,-2.893,-0.00234,-0.00267,-0.00184,0
290,0.284774,-0.138,-0.412,-2.907,-0.00225,-0.00255,-0.00206,0
291,0.285748,-0.144,-0.418,-2.879,-0.00199,-0.00255,-0.0022,0
292,0.28674,-0.155,-0.4,-2.892,-0.00221,-0.0027,-0.00221,0
293,0.287731,-0.128,-0.421,-2.896,-0.00224,-0.00266,-0.00177,0
294,0.288722,-0.138,-0.417,-2.876,-0.00232,-0.00266,-0.0017,0
295,0.289702,-0.158,-0.415,-2.889,-0.00233,-0.00273,-0.00177,0
296,0.290694,-0.139,-0.434,-2.901,-0.00229,-0.00259,-0.00198,0
297,0.291668,-0.139,-0.425,-2.894,-0.00229,-0.00261,-0.00191,0
298,0.292659,-0.149,-0.422,-2.92,-0.00237,-0.00267,-0.00194,0
299,0.29365,-0.17,-0.422,-2.899,-0.00231,-0.00277,-0.00171,0
300,0.29463,-0.154,-0.43,-2.9,-0.00234,-0.00261,-0.00175,0
