count[times],Measured Time[s],Fx Value[N],Fy Value[N],Fz Value[N],Mx Value[Nm],My Value[Nm],Mz Value[Nm],Temp Value[degC]
101,0.099336,-0.122,-0.132,-2.667,0.00164,-0.00419,-0.00144,0
102,0.100328,-0.13,-0.131,-2.703,0.00176,-0.00415,-0.0022,0
103,0.101319,-0.103,-0.122,-2.667,0.00167,-0.00415,-0.00167,0
104,0.10231,-0.104,-0.099,-2.643,0.00164,-0.00426,-0.00141,0
105,0.10329,-0.139,-0.122,-2.673,0.00173,-0.00418,-0.00165,0
106,0.104264,-0.139,-0.122,-2.658,0.00166,-0.00422,-0.00165,0
107,0.105255,-0.128,-0.135,-2.671,0.00171,-0.00419,-0.00184,0
108,0.106246,-0.13,-0.103,-2.651,0.00183,-0.00421,-0.00158,0
109,0.107237,-0.087,-0.134,-2.619,0.00169,-0.00424,-0.00187,0
110,0.108217,-0.114,-0.123,-2.671,0.00176,-0.00418,-0.00118,0
111,0.109191,-0.131,-0.108,-2.677,0.00166,-0.00435,-0.00207,0
112,0.110182,-0.125,-0.119,-2.676,0.00162,-0.00418,-0.00117,0
113,0.111173,-0.124,-0.098,-2.647,0.00162,-0.00415,-0.00169,0
114,0.112164,-0.105,-0.105,-2.643,0.00163,-0.00413,-0.00151,0
115,0.113144,-0.093,-0.137,-2.654,0.00168,-0.00416,-0.0018,0
116,0.114118,-0.118,-0.116,-2.672,0.00168,-0.00413,-0.00161,0
117,0.115109,-0.13,-0.153,-2.668,0.00171,-0.00418,-0.00168,0
118,0.1161,-0.086,-0.113,-2.674,0.00152,-0.00412,-0.00195,0
119,0.117091,-0.097,-0.113,-2.671,0.00167,-0.0042,-0.00175,0
120,0.118071,-0.116,-0.131,-2.683,0.00164,-0.00428,-0.0014,0
121,0.119045,-0.125,-0.129,-2.643,0.00168,-0.00415,-0.00143,0
122,0.120036,-0.129,-0.15,-2.671,0.00157,-0.00425,-0.0018,0
123,0.121027,-0.138,-0.142,-2.652,0.00165,-0.00427,-0.00171,0
124,0.122018,-0.126,-0.124,-2.645,0.00165,-0.00414,-0.00146,0
125,0.122998,-0.109,-0.132,-2.674,0.00161,-0.00404,-0.00173,0
126,0.123972,-0.107,-0.128,-2.673,0.00164,-0.00408,-0.00124,0
127,0.124963,-0.118,-0.123,-2.675,0.00157,-0.00416,-0.00172,0
128,0.125954,-0.124,-0.146,-2.653,0.00164,-0.0044,-0.00159,0
129,0.126945,-0.119,-0.116,-2.68,0.00159,-0.00428,-0.0018,0
130,0.127925,-0.124,-0.091,-2.653,0.00148,-0.00428,-0.00218,0
131,0.128899,-0.116,-0.102,-2.686,0.00157,-0.00424,-0.00143,0
132,0.12989,-0.125,-0.108,-2.691,0.00158,-0.00407,-0.00188,0
133,0.130881,-0.105,-0.107,-2.663,0.00173,-0.00406,-0.00207,0
134,0.131872,-0.135,-0.101,-2.645,0.00166,-0.00419,-0.00167,0
135,0.132852,-0.125,-0.132,-2.638,0.00167,-0.00411,-0.00159,0
136,0.133826,-0.132,-0.114,-2.639,0.00159,-0.00422,-0.00157,0
137,0.134817,-0.14,-0.127,-2.665,0.00174,-0.00427,-0.00141,0
138,0.135808,-0.127,-0.137,-2.67,0.00166,-0.00415,-0.00126,0
139,0.136799,-0.098,-0.099,-2.703,0.00173,-0.00418,-0.00149,0
140,0.137779,-0.105,-0.108,-2.7,0.00174,-0.00412,-0.00133,0
